Tabelle 1.12: Mietvertragsdauer und Anteil befristeter Hauptmietwohnungen nach wohnspezifischen und soziodemographischen Merkmalen ;;;;;;;;;;;;
Merkmal;"Hauptmiet-
wohnungen insgesamt
in 1 000";Mietvertragsdauer1;;;;;;;;;;
;;"bis unter
2 Jahre";"2 bis
unter 5
Jahre";"5 bis
unter 10
Jahre";"10 bis
unter 20
Jahre";"20 bis
unter 30
Jahre";"30 Jahre
u. länger";"Arith-
metisches Mittel";Median;;;
;;in %;;;;;;;;;;
Insgesamt;1 800,4;25,5;25,0;15,2;15,8;9,3;9,2;10,6;4,8;;;
Rechtsverhältnis;;;;;;;;;;;;
Gemeindewohnung;273,9;10,7;16,1;16,3;22,2;17,8;16,9;16,7;12,4;;;
Genossenschaftswohnung;711,2;14,3;22,1;20,5;21,7;11,8;9,6;12,4;7,9;;;
andere Hauptmiete ;815,3;40,2;30,6;10,2;8,4;4,3;6,2;7,0;2,5;;;
Gemeindegrößenklasse;;;;;;;;;;;;
Wien;748,8;20,1;22,7;14,4;17,9;12,3;12,7;13,0;6,8;;;
Bundesland;;;;;;;;;;;;
Burgenland;32,0;25,6;27,3;23,4;12,4;7,3;(4,1);7,9;4,7;;;
Kärnten;96,6;22,1;23,6;19,1;17,5;9,3;8,4;10,6;5,8;;;
Niederösterreich;217,8;25,3;25,9;16,9;18,1;8,2;5,5;9,3;4,8;;;
Oberösterreich;237,4;27,4;26,0;17,2;15,2;7,4;6,8;9,2;4,4;;;
Salzburg;97,7;32,9;25,6;13,0;12,2;8,9;7,4;9,0;3,3;;;
Steiermark;192,3;28,9;30,0;15,3;12,8;6,2;6,9;8,5;3,5;;;
Tirol;115,5;37,4;25,0;11,0;12,9;5,6;8,1;8,8;2,8;;;
Vorarlberg;62,2;46,0;30,7;12,1;4,1;(3,1);4,0;5,2;2,2;;;
Wien;748,8;20,1;22,7;14,4;17,9;12,3;12,7;13,0;6,8;;;
Mietvertragsdauer1;;;;;;;;;;;;
bis unter 2 Jahre;459,4;100,0;-;-;-;-;-;1,0;1,0;;;
2 bis unter 5 Jahre;450,3;-;100,0;-;-;-;-;3,2;3,0;;;
5 bis unter 10 Jahre;273,6;-;-;100,0;-;-;-;7,1;6,8;;;
10 bis unter 20 Jahre;284,4;-;-;-;100,0;-;-;14,3;14,1;;;
20 bis unter 30 Jahre;167,7;-;-;-;-;100,0;-;24,5;24,5;;;
30 Jahre und länger;164,9;-;-;-;-;-;100,0;42,7;40,7;;;
