Tabelle 1.13: Durchschnittliche Wohnkosten von Hauptmietwohnungen nach wohnspezifischen und soziodemographischen Merkmalen;;;;;;;;;;;;;
Merkmal;"Hauptmiet-wohnungen1
in 1 000";"Miete mit
Betriebskosten in Euro";;"Miete ohne
Betriebskosten in Euro";;"Betriebskosten
in Euro";;"Betriebs-
kosten-
anteil an
der Miete";"Garagen-/
Abstell-
platzkosten
in Euro
pro Wohnung";;;;
;;pro Wohnung;pro m²;pro Wohnung;pro m²;pro Wohnung;pro m²;;;;;;
;;Ø;;;;;;in %;Ø;;;;
Insgesamt;1 799,9;674,6;10,2;508,6;7,7;168,8;2,6;27,5;46,0;;;;
Rechtsverhältnis;;;;;;;;;;;;;
Gemeindewohnung;273,9;496,0;8,2;334,2;5,5;164,0;2,7;34,8;38,9;;;;
Genossenschaftswohnung;711,1;607,9;8,8;438,5;6,3;170,6;2,5;29,5;44,3;;;;
andere Hauptmiete ;815,0;792,8;12,1;628,3;9,6;168,8;2,6;23,3;49,0;;;;
Gemeindegrößenklasse;;;;;;;;;;;;;
Wien;748,8;694,3;10,6;519,9;7,9;176,3;2,7;28,9;72,2;;;;
andere Gemeinden > 100 000 Einw.;277,9;693,3;11,3;526,5;8,6;167,9;2,7;26,2;48,4;;;;
Gemeinden > 10 000 u. ? 100 000 Einw.;323,4;652,8;9,8;488,5;7,3;167,0;2,5;27,5;42,9;;;;
Gemeinden ? 10 000 Einw.;449,8;645,8;9,2;493,0;7,0;158,0;2,3;26,1;39,4;;;;
Bundesland;;;;;;;;;;;;;
Burgenland;32,0;593,9;7,7;455,3;5,8;144,5;1,9;25,9;32,0;;;;
Kärnten;96,6;542,6;8,1;394,8;5,9;151,0;2,3;29,0;34,8;;;;
Niederösterreich;217,7;641,1;9,2;473,3;6,7;172,1;2,5;28,9;39,1;;;;
Oberösterreich;237,3;624,2;9,3;461,4;6,9;165,6;2,5;27,7;42,9;;;;
Salzburg;97,7;781,4;12,2;610,8;9,5;173,6;2,8;24,1;48,5;;;;
Steiermark;192,1;624,6;9,8;474,2;7,4;152,5;2,4;25,9;40,9;;;;
Tirol;115,5;778,0;12,0;618,6;9,6;162,4;2,5;22,6;44,5;;;;
